,Unnamed: 0,x,y,z,uptime,class
7069,7069,-2.2572569095275945,3.0681014273907152,8.407753332194368,138.73999999999978,3
7070,7070,-3.6319655078971422,3.047070011106669,8.64893421361024,138.7599999999984,3
7071,7071,-3.699074035142688,2.808114500490273,8.984693213515015,138.77999999999884,3
7072,7072,-2.424716949498965,3.349838945629174,8.205188481385747,138.79999999999927,3
7073,7073,-2.582173763906852,3.5404219874006486,7.644289985388937,138.8199999999997,3
7074,7074,-3.5529855328381714,3.236055859544667,8.57132505798547,138.84000000000017,3
7075,7075,-2.9541355527821818,2.991693720628345,9.537525671780212,138.85999999999876,3
7076,7076,-2.675695651467276,1.8918970120309733,8.492604502410433,138.8799999999992,3
7077,7077,-2.2570004544433004,3.254488530713246,8.526081557634377,138.89999999999964,3
7078,7078,-2.9728855237340497,3.75352245992832,8.751047834787421,138.92000000000007,3
7079,7079,-3.893326014110123,3.25589390169796,8.53450016161602,138.9399999999987,3
7080,7080,-2.572575531725864,3.078867630879764,8.739990388696263,138.95999999999913,3
7081,7081,-1.8133359525364767,2.506733195524056,9.30879237188248,138.97999999999956,3
7082,7082,-3.0205658083379587,2.44195824165173,9.255530633223632,139.0,6
7083,7083,-2.891539619706407,3.1976818665380904,9.427440745802755,139.0099999999984,6
7084,7084,-1.8724358537873549,3.2110647665760137,9.243669046587698,139.02999999999884,6
7085,7085,-1.8551101114268995,2.285187888760156,9.461787849793094,139.04999999999927,6
7086,7086,-2.165352398158019,2.5964917983864133,9.685207524905897,139.0699999999997,6
7087,7087,-1.97967439272678,3.001370067481261,9.119364091080657,139.09000000000017,6
7088,7088,-1.7880247849770114,2.6760381602252608,8.790581026897485,139.10999999999876,6
7089,7089,-1.048788864679466,2.0469064962933032,9.940083536735358,139.1299999999992,6
7090,7090,-1.7865030166554163,1.6876190575701742,9.909605667391226,139.14999999999964,6
7091,7091,-1.9098478005020496,1.967958632634748,9.040565671216498,139.17000000000007,6
7092,7092,-0.6046365461041354,2.480142400758641,8.750892670032805,139.1899999999987,6
7093,7093,-1.2723435750448369,2.703067332201451,8.423563810315366,139.20999999999913,6
7094,7094,-1.7324406853431542,2.8521167913361647,9.889139080899774,139.22999999999956,6
7095,7095,-2.4173427006116803,1.8349717305705724,10.25444034003188,139.25,6
7096,7096,-1.4776160402624825,1.7840075597685967,9.312661698566131,139.26999999999862,6
7097,7097,-0.5440252297398089,2.2825914651528336,8.88497169490623,139.28999999999905,6
7098,7098,-1.7126901628176023,2.684398271552311,9.001876981875654,139.3099999999995,6
7099,7099,-2.512178340032374,2.2310680492145654,9.901328666654605,139.32999999999993,6
7100,7100,-1.4656344765730331,1.1413818386722951,10.057577699084046,139.34999999999854,6
7101,7101,-1.8289963348481064,0.5797616400274777,8.906296783654877,139.36999999999898,6
7102,7102,-2.377027247912109,1.983949900069956,9.468679431902077,139.38999999999942,6
7103,7103,-2.154539457405928,2.459727265074924,9.82318710758581,139.40999999999983,6
7104,7104,-1.8141505207672672,1.5689497849185514,9.687189916007377,139.42999999999847,6
7105,7105,-3.1729058625455897,0.9063527755344828,9.61460372354718,139.4499999999989,6
7106,7106,-2.900472438667429,1.620079237476402,9.434475926928778,139.46999999999937,6
7107,7107,-1.5143786953809464,1.852283878131836,8.953034416159156,139.48999999999978,6
7108,7108,-1.514591732902559,1.2184313033646212,9.707585967656064,139.5099999999984,6
7109,7109,-2.409747077687048,0.8176080255244695,10.0954359826365,139.52999999999884,6
7110,7110,-1.803829268635937,0.9216848284939516,9.179524935382553,139.54999999999927,6
7111,7111,-1.9798948131893328,1.6336917288393806,8.647171266989972,139.5599999999995,6
7112,7112,-1.7737055538241542,2.4183917925610885,9.681092512198568,139.57999999999993,6
7113,7113,-2.203468564416081,1.465108330153102,10.026922487614922,139.59999999999854,6
7114,7114,-3.013310023400976,0.6464251097481295,9.71519845451135,139.61999999999898,6
7115,7115,-2.6031513106407296,1.0871630215466066,9.559959799200518,139.63999999999942,6
7116,7116,-2.078390894381787,1.0679858099964823,9.8597651430636,139.65999999999983,6
7117,7117,-1.9916242231950072,1.1000204282746535,10.139097550727048,139.67999999999847,6
7118,7118,-1.990873792471449,0.9495681737793102,9.69096076402511,139.6999999999989,6
7119,7119,-1.68338970955274,0.5904210117862867,8.879937325227557,139.71999999999937,6
7120,7120,-2.45306591333798,0.4451829520648971,9.426696064167189,139.73999999999978,6
7121,7121,-2.913121593448928,0.5111411312822689,9.808892621375842,139.7599999999984,6
7122,7122,-1.2915625276697362,0.7458436748206871,9.79060480901385,139.77999999999884,6
7123,7123,-0.7915195764848946,0.8076981856256396,9.767878225440857,139.79999999999927,6
7124,7124,-1.95696605588266,1.323992499634052,10.745310292980797,139.8199999999997,6
7125,7125,-2.6159161198349192,1.0441148060406196,10.439065431466094,139.84000000000017,6
7126,7126,-1.8327081736014248,0.3649846100102785,8.975210949189133,139.85999999999876,6
7127,7127,-1.2085122955027288,0.1645706012942041,8.933006915655351,139.8799999999992,6
7128,7128,-2.3106943254230004,0.2193174753236118,9.66348845936982,139.89999999999964,6
7129,7129,-1.6252726321482411,0.6337134961584749,9.557850260768856,139.92000000000007,6
7130,7130,-0.9300084146447638,0.9902956812217952,8.682513847205506,139.9399999999987,6
7131,7131,-0.9339649406366012,1.566552171026906,9.303987936215504,139.95999999999913,6
7132,7132,-1.4283001845514232,1.1568872917872923,10.900783093212716,139.97999999999956,6
7133,7133,-1.59068268259524,0.9079855817590818,12.104080742742555,140.0,6
7134,7134,-1.6158586357427058,1.157814258596522,11.130969291487938,140.01999999999862,6
7135,7135,0.5501899816992051,1.4012536085816691,8.034568222491579,140.03999999999905,6
7136,7136,0.2307491640114136,0.8809480520189439,7.641444440695782,140.0599999999995,6
7137,7137,-2.594999272417739,0.9536066535160508,9.938780581388215,140.07999999999993,6
7138,7138,-2.115857443488009,0.5470894251287337,10.183281213571655,140.09000000000017,6
7139,7139,-0.1705071326455485,-1.059545811087415,7.804665943321605,140.10999999999876,6
7140,7140,-0.4948119548913929,-0.3271175307249017,7.642703959203994,140.1299999999992,6
7141,7141,-1.8815772465031788,0.9905234986417,10.1707580405506,140.14999999999964,6
7142,7142,-2.2545764724675976,0.7578743536020589,10.704469771924757,140.17000000000007,6
7143,7143,-1.003584591876999,0.5242095561305158,8.481997729335651,140.1899999999987,6
